40  2.25  1  11  0  1000  0  1000  	2017/04/13 - 2017/12/29	260	2,136	4,005.00	-2,025.00	2.02%	62	54.84%	1.37	64.60	343.83	72.50	1.66	2.78	7.21%	40  2.25  1  11  0  1000  0  1000  
",oosCurve,updated,2018-09-18 22:46:22,2018-09-18 23:19:23
67,17,170,4,@RTY.D,0,C:\ZTS\Dropbox\ats\CandidateArchive\cand_DP_17_T1_15_T2_na_mkt_83.txt,tbd,9,15,min,,,200,2010-11-22,2017-12-29,f,1,1,0,3,0,35,2.55,8,8,4,,,,1,0,1000.00000,0,1000.00000,TSI,NATR:int Fract:double Filter1_N1:int Filter1_N2:int SL_switch:int SL:int PT_switch:int PT:int,260,2018-09-14,2015-11-13,2018-09-14,"25  2.25  9  6  0  1000  0  1000  	2010/11/15 - 2011/07/29	256	4,266	405.00	-2,040.00	2.04%	87	54.02%	0.90	4.66	237.45	15.00	1.05	0.28	42.77%	25  2.25  9  6  0  1000  0  1000  
25  2.25  9  6  0  1000  0  1000  	2011/07/29 - 2012/04/17	263	4,266	5,695.00	-1,825.00	1.82%	85	61.18%	1.02	67.00	366.41	75.00	1.61	4.33	4.78%	25  2.25  9  6  0  1000  0  1000  
25  2.25  9  6  0  1000  0  1000  	2012/04/17 - 2013/01/04	262	4,266	2,395.00	-1,070.00	1.07%	83	53.01%	1.22	28.86	242.01	10.00	1.37	3.12	14.03%	25  2.25  9  6  0  1000  0  1000  
30  2.25  10  5  0  1000  0  1000  	2013/01/04 - 2013/09/13	252	4,266	3,735.00	-950.00	0.95%	87	64.37%	1.08	42.93	175.51	50.00	1.94	5.69	1.25%	30  2.25  10  5  0  1000  0  1000  
45  2.35  5  7  0  1000  0  1000  	2013/09/13 - 2014/06/09	269	4,266	-1,710.00	-3,750.00	3.75%	95	53.68%	0.71	-18.00	247.72	30.00	0.83	-0.62	24.03%	45  2.35  5  7  0  1000  0  1000  
30  2.35  11  7  0  1000  0  1000  	2014/06/09 - 2015/02/23	259	4,266	-600.00	-3,540.00	3.54%	89	50.56%	0.93	-6.74	390.38	30.00	0.96	-0.24	43.55%	30  2.35  11  7  0  1000  0  1000  
30  2.35  10  5  0  1000  0  1000  	2015/02/23 - 2015/11/05	255	4,266	4,735.00	-3,290.00	3.29%	65	60.00%	1.17	72.85	423.45	100.00	1.76	2.06	8.51%	30  2.35  10  5  0  1000  0  1000  
40  2.25  5  4  0  1000  0  1000  	2015/11/05 - 2016/07/22	260	4,266	2,570.00	-2,795.00	2.79%	70	58.57%	0.92	36.71	373.70	55.00	1.30	1.29	20.70%	40  2.25  5  4  0  1000  0  1000  
40  2.25  5  4  0  1000  0  1000  	2016/07/22 - 2017/04/06	258	4,266	1,410.00	-1,490.00	1.49%	52	59.62%	0.84	27.12	329.82	45.00	1.24	1.34	27.80%	40  2.25  5  4  0  1000  0  1000  
25  2.35  11  5  0  1000  0  1000  	2017/04/06 - 2017/12/28	266	4,270	1,555.00	-3,015.00	3.02%	92	50.00%	1.17	16.90	304.04	-5.00	1.17	0.71	29.76%	25  2.35  11  5  0  1000  0  1000  
",oosCurve,updated,2018-09-13 17:25:37,2018-09-13 18:16:14
79,21,238,14,@S,0,C:\ZTS\Dropbox\ats\CandidateArchive\cand_DP_21_T1_30_T2_na_mkt_260.txt,tbd,5,30,min,,,200,2010-11-22,2017-12-29,f,2,1,0,10,0,55,2.40,5,11,0,,,,1,0,1000.00000,0,1000.00000,TSI,NATR:int Fract:double Filter1_N1:int SL_switch:int SL:int PT_switch:int PT:int,246,2018-09-01,2016-02-16,2018-09-01,"65  2.10  8  0  1000  0  1000  	2011/04/15 - 2012/01/31	291	1,625	3,075.00	-4,887.50	4.89%	73	57.53%	0.93	42.12	471.13	75.00	1.26	0.79	22.37%	65  2.10  8  0  1000  0  1000  
55  2.60  8  0  1000  0  1000  	2012/01/31 - 2012/10/17	260	1,625	-1,987.50	-3,275.00	3.27%	33	48.48%	0.83	-60.23	644.70	-87.50	0.78	-0.85	29.76%	55  2.60  8  0  1000  0  1000  
45  2.50  9  0  1000  0  1000  	2012/10/17 - 2013/06/13	244	1,625	2,150.00	-1,675.00	1.68%	42	61.90%	0.86	51.19	376.86	106.25	1.40	1.92	19.19%	45  2.50  9  0  1000  0  1000  
55  2.60  8  0  1000  0  1000  	2013/06/13 - 2014/01/30	231	1,625	2,475.00	-1,850.00	1.85%	46	67.39%	0.69	53.80	412.70	81.25	1.42	2.11	19.06%	55  2.60  8  0  1000  0  1000  
60  2.60  9  0  1000  0  1000  	2014/01/30 - 2014/10/01	244	1,625	1,912.50	-2,475.00	2.48%	64	56.25%	0.93	29.88	441.15	43.75	1.19	1.16	29.49%	60  2.60  9  0  1000  0  1000  
50  2.70  8  0  1000  0  1000  	2014/10/01 - 2015/05/27	238	1,625	1,712.50	-3,525.00	3.52%	40	65.00%	0.69	42.81	443.39	62.50	1.29	0.75	27.25%	50  2.70  8  0  1000  0  1000  
60  2.60  8  0  1000  0  1000  	2015/05/27 - 2016/01/06	224	1,625	337.50	-2,437.50	2.44%	49	53.06%	0.93	6.89	362.60	50.00	1.05	0.23	44.74%	60  2.60  8  0  1000  0  1000  
60  2.60  8  0  1000  0  1000  	2016/01/06 - 2016/09/14	252	1,625	6,650.00	-1,550.00	1.55%	40	75.00%	0.80	166.25	544.15	168.75	2.41	6.21	3.03%	60  2.60  8  0  1000  0  1000  
60  2.60  8  0  1000  0  1000  	2016/09/14 - 2017/05/08	236	1,625	2,112.50	-1,975.00	1.98%	53	64.15%	0.80	39.86	285.05	37.50	1.43	1.65	15.67%	60  2.60  8  0  1000  0  1000  
60  2.60  8  0  1000  0  1000  	2017/05/08 - 2017/12/29	235	1,625	5,650.00	-1,475.00	1.48%	55	63.64%	1.69	102.73	275.25	37.50	2.96	5.95	0.39%	60  2.60  8  0  1000  0  1000  
